SERIES,INCHIKEY,ISOSMILES,MULTIPLET,FRAGMENTS,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,REOS_violations,DL_score,SA_score,RMSD
12160,RYLLSAPICQZKCM-ZDUSSCGKSA-L,N#Cc1cccc(COP(=O)([O-])OP(=O)([O-])OCC[C@H]2C=CNCC2)c1,"(pose_E325_0657_022, pose_H241_0874_03)",[1*][C@H]1C=CNCC1.[8*]c1cc([12*])cc(C#N)c1.[1*]CCOP(=O)([O-])OP(=O)([O-])OC[12*],400.264,1.558,9,1,4,0.611,3,143.77,0.072,0.689,0.804,0.023,0.32,0.205,0.077,0.27,0.216,0.539,0.392,0.2,0.077,0.351,0.98,0.006,0.045,0.086,0.051,0.038,0.19,0.004,0.817,0.162,0.05,0.002,0.005,0.032,0.005,0.254,0.36,-5.365,33.605,6.218,18.579,-8.365,4.574,1.113,73.843,-1.402,2.158,65.258,39.55,86.254,36.681,63.804,61.691,75.436,83.598,26.367,45.715,51.415,43.156,73.711,63.513,61.07,72.199,74.68,55.176,76.076,58.434,44.979,43.66,36.293,36.797,70.337,69.135,61.148,70.415,78.674,45.328,56.185,58.24,30.361,30.748,30.903,48.43,28.926,29.43,55.874,28.538,47.499,35.944,65.568,62.699,99.612,44.203,48.119,77.549,55.176,1,0.901,4.883,0.34
2123,WENGCTKRNRQNFC-UHFFFAOYSA-N,O=C(CS(=O)(=O)Cc1cc(C(=O)O)ccc1Cl)N=C1CCOCC1,"(pose_E325_0651_020, pose_H241_0881_020)",[1*]=C1CCOCC1=[4*].[9*]c1cc(C(=O)O)ccc1Cl.[1*]=NC(=O)CS(=O)(=O)C[9*],373.814,1.731,5,1,4,0.841,0,110.1,0.083,0.538,0.882,0.008,0.136,0.306,0.048,0.013,0.009,0.216,0.025,0.342,0.09,0.955,0.913,0.011,0.024,0.004,0.006,0.009,0.07,0.048,0.139,0.056,0.107,0.008,0.013,0.009,0.009,0.379,0.011,-5.213,2.131,-19.44,18.322,-11.663,1.775,-1.489,66.183,-2.68,-1.344,59.248,41.644,59.112,36.681,63.804,93.99,22.489,73.013,29.469,32.842,68.282,30.748,54.827,78.907,53.354,7.096,22.993,25.281,40.093,77.278,48.468,90.268,27.104,50.717,50.019,22.024,32.803,34.044,39.744,82.784,16.557,44.436,46.685,53.005,49.515,32.571,36.797,45.056,8.724,36.177,16.518,9.461,65.335,30.089,12.136,8.802,38.852,57.348,25.863,0,0.859,2.883,0.34
44879,SUDJEOUUSUJUFD-UHFFFAOYSA-N,N#Cc1cccc(CC(NC(=O)COc2ccc(Cl)cc2)C(=O)NCCO)c1,"(pose_E325_0707_016, pose_H241_0874_06)",[1*]c1ccc(Cl)cc1.[9*]c1cc([13*])cc(C#N)c1.[1*]OCC(=O)NC(C[9*])C(=O)NCCO,401.85,1.426,5,3,4,0.588,1,111.45,0.096,0.213,0.848,0.185,0.588,0.23,0.199,0.142,0.094,0.749,0.726,0.491,0.091,0.659,0.993,0.017,0.022,0.042,0.045,0.007,0.03,0.034,0.765,0.244,0.07,0.002,0.013,0.062,0.021,0.168,0.468,-5.356,53.012,16.575,39.44,-13.981,2.363,1.439,72.583,-3.501,-0.092,65.646,37.922,59.112,77.259,63.804,59.131,54.808,73.788,32.454,13.377,60.45,68.941,87.476,67.817,75.727,57.697,61.187,80.341,88.406,88.057,48.895,62.815,44.824,62.776,48.042,58.085,58.899,27.181,12.602,78.945,50.911,63.707,36.216,34.316,48.197,56.417,49.554,16.208,61.807,28.926,64.87,48.623,82.202,14.192,39.628,49.554,46.724,41.062,35.789,1,0.879,2.519,0.34
44801,UMDTVSQXXUMZBQ-LLVKDONJSA-L,O=C1[C@H](Cl)CN=CN1COP(=O)([O-])OP(=O)([O-])OCc1ccc(Cl)cc1,"(pose_E325_0707_014, pose_H241_0937_019)",[1*]c1ccc(Cl)cc1.[9*]=C1N=CN([14*])C(=O)[C@@H]1Cl.[1*]COP(=O)([O-])OP(=O)([O-])OC[14*],445.088,1.262,9,0,4,0.43,3,140.62,0.319,0.858,0.84,0.099,0.532,0.224,0.141,0.113,0.456,0.597,0.296,0.358,0.112,0.562,0.966,0.014,0.038,0.051,0.073,0.046,0.296,0.013,0.798,0.201,0.309,0.013,0.008,0.076,0.02,0.396,0.231,-5.339,41.141,10.137,7.499,-8.59,3.438,2.168,78.252,-1.862,0.539,74.525,35.595,86.254,11.768,63.804,37.805,75.436,82.881,68.127,62.195,58.589,59.829,85.072,66.576,70.841,52.113,84.606,60.527,72.16,78.751,53.742,57.348,32.648,57.542,66.072,61.419,67.584,74.796,88.329,65.335,54.052,61.458,72.005,60.644,39.977,60.101,48.817,47.15,45.522,29.818,54.75,40.713,50.64,60.411,91.47,63.591,54.207,71.384,41.218,0,0.862,4.939,0.34
34249,YCCSASPIAQWUHD-UHFFFAOYSA-N,Cc1cc(N)nc(OCC(O)CCOc2ccc3c(c2)NC(=O)CC(=O)N3C)c1,"(pose_E325_0695_015, pose_H241_0907_014)",[1*]c1cc(C)cc(N)n1.[10*]c1ccc2c(c1)N([18*])C(=O)C(=[22*])C(=O)N2C.[1*]OCC(O)CCO[10*],400.435,1.486,7,3,4,0.601,1,127.01,0.174,0.445,0.825,0.022,0.091,0.192,0.132,0.076,0.032,0.578,0.435,0.183,0.19,0.851,0.995,0.025,0.084,0.38,0.053,0.008,0.075,0.009,0.629,0.297,0.125,0.025,0.011,0.114,0.155,0.062,0.666,-5.375,28.329,39.581,-10.154,-14.426,2.667,1.754,73.184,-3.459,-0.014,65.258,38.426,77.356,77.259,63.804,60.76,54.808,79.992,47.809,27.336,55.06,42.575,48.003,60.178,70.066,41.993,43.156,58.123,77.705,55.719,65.103,76.192,48.275,72.082,84.49,89.802,62.311,31.524,42.73,59.054,41.45,66.46,49.942,71.656,44.591,65.491,81.311,1.629,70.531,27.879,42.148,70.415,19.116,11.749,59.907,55.448,47.344,42.109,36.409,0,0.942,3.265,0.34
43678,ITULRBFIIAXVFJ-UHFFFAOYSA-N,NCc1ccc(CCCNC(=O)COc2c[nH]nn2)cc1,"(pose_E325_0705_06, pose_H241_0929_08)",[1*]c1ccc(CN)cc1.[10*]c1cn([14*])nn1.[1*]CCCNC(=O)CO[10*],289.339,0.391,5,3,4,0.61,0,105.92,0.538,0.826,0.898,0.257,0.315,0.076,0.062,0.184,0.059,0.388,0.239,0.211,0.135,0.331,0.999,0.004,0.007,0.038,0.024,0.011,0.087,0.004,0.378,0.128,0.077,0.008,0.037,0.009,0.006,0.713,0.175,-5.548,50.458,-17.671,-18.101,-12.692,2.659,-0.393,63.43,-1.918,-2.484,37.34,27.065,59.112,77.259,63.804,61.652,22.489,70.609,85.188,58.24,72.47,73.633,73.594,27.453,57.115,64.25,53.199,40.791,68.592,59.984,57.658,42.458,67.584,28.577,18.496,56.495,49.205,37.844,49.515,48.507,28.848,54.478,38.309,52.966,69.484,32.881,30.748,77.2,39.783,21.869,62.505,10.43,9.771,22.877,59.015,20.706,35.169,70.57,18.845,0,0.87,2.599,0.34
55025,MIYVPEUIPPUKNS-UHFFFAOYSA-N,N#Cc1cccc(OCC(=O)NCCCc2c[nH]nn2)c1,"(pose_E325_0744_011, pose_H241_0874_020)",[1*]c1cn([5*])nn1.[8*]c1cc([12*])cc(C#N)c1.[1*]CCCNC(=O)CO[8*],285.307,0.804,5,2,4,0.732,0,103.69,0.633,0.681,0.941,0.464,0.37,0.153,0.13,0.196,0.013,0.543,0.187,0.323,0.171,0.798,0.999,0.003,0.003,0.049,0.021,0.012,0.069,0.019,0.762,0.073,0.058,0.036,0.014,0.013,0.036,0.61,0.19,-5.213,66.759,-4.094,-8.755,-13.822,2.243,0.121,76.688,-2.865,-7.91,36.138,30.748,59.112,60.857,63.804,79.256,22.489,69.329,89.415,45.056,86.817,82.164,77.045,50.95,69.523,65.491,28.887,55.332,64.87,74.641,62.737,71.384,71.85,24.273,9.461,60.527,47.344,39.86,39.124,70.492,50.717,47.46,33.346,76.386,49.903,36.293,59.597,67.158,41.373,36.216,75.107,23.071,21.171,14.928,32.377,28.655,51.803,53.199,2.908,0,0.876,2.636,0.34
18501,CKNWIGZEHGWHKJ-UHFFFAOYSA-L,N#Cc1cccc(COP(=O)([O-])OP(=O)([O-])OCn2ccc3c(N)ncnc32)c1,"(pose_E325_0676_023, pose_H241_0874_06)",[1*]c1c([4*])n([6*])c2ncnc(N)c12.[14*]c1cc([18*])cc(C#N)c1.[6*]COP(=O)([O-])OP(=O)([O-])OC[14*],437.245,1.029,12,1,3,0.495,2,188.47,0.239,0.853,0.853,0.012,0.115,0.282,0.068,0.099,0.054,0.457,0.162,0.21,0.306,0.892,0.962,0.007,0.019,0.186,0.182,0.049,0.183,0.002,0.646,0.068,0.076,0.004,0.001,0.023,0.018,0.127,0.592,-5.413,22.545,21.741,23.752,-12.736,3.658,1.508,82.63,-2.289,3.04,73.168,32.959,92.323,36.681,20.919,46.413,68.864,90.074,58.434,61.768,61.264,35.363,52.23,75.533,58.666,48.468,51.609,47.654,62.97,59.868,76.851,80.109,31.95,39.667,43.311,80.729,83.792,76.503,77.356,31.097,42.226,46.917,38.271,43.893,13.339,43.311,46.956,9.422,67.856,26.755,35.324,54.711,70.415,22.528,95.037,50.64,60.023,64.405,61.497,1,0.857,4.273,0.34
51676,MOZWWPFOPABHBC-UHFFFAOYSA-N,Nc1ccc(NC(=O)CCC(=O)N=NC=C2C(=O)Nc3ccccc32)cc1,"(pose_E325_0719_09, pose_H241_0900_017)",[1*]c1ccc2c(c1)C(=[9*])C(=O)N2.[13*]c1ccc(N)c([19*])c1.[9*]=CN=NC(=O)CCC(=O)N[13*],363.377,2.96,5,3,4,0.429,0,126.01,0.81,0.784,0.829,0.361,0.353,0.211,0.327,0.116,0.078,0.517,0.566,0.603,0.158,0.922,0.996,0.013,0.067,0.894,0.095,0.016,0.223,0.011,0.733,0.29,0.501,0.171,0.041,0.593,0.116,0.686,0.753,-5.238,33.184,-0.211,24.708,-12.213,2.602,1.946,76.383,-5.755,-3.859,56.844,61.187,59.112,77.259,63.804,37.611,22.489,79.837,94.921,54.246,55.797,78.596,76.037,64.327,83.831,52.695,57.891,52.811,82.745,93.059,61.342,84.413,49.632,54.789,80.38,98.953,72.431,46.607,82.629,61.652,48.468,66.266,83.637,92.865,71.423,88.949,77.356,74.447,75.145,34.742,46.917,28.461,71.307,26.328,54.944,59.131,51.144,6.902,12.524,0,0.871,2.744,0.34
35762,KAQHFCHZZJTVID-UHFFFAOYSA-N,Cc1cc(N)nc(OCC(=O)NC(CO)Cc2cc(C)cs2)c1,"(pose_E325_0695_019, pose_H241_0940_03)",[1*]c1cc(C)cc(N)n1.[10*]c1sc([14*])c(C)c1[18*].[1*]OCC(=O)NC(C[10*])CO,335.429,1.441,6,3,4,0.711,1,97.47,0.11,0.814,0.904,0.267,0.552,0.337,0.156,0.229,0.097,0.544,0.487,0.276,0.117,0.585,1.0,0.014,0.036,0.133,0.029,0.007,0.102,0.004,0.895,0.074,0.049,0.005,0.006,0.021,0.008,0.151,0.372,-5.419,95.499,28.978,-7.772,-13.588,2.076,2.089,75.835,-3.125,2.749,50.368,37.999,69.504,77.259,63.804,76.58,54.808,65.646,35.712,57.193,74.525,74.176,85.925,82.047,72.47,69.174,61.574,55.409,79.527,69.446,54.789,58.705,74.331,57.852,64.211,75.688,52.268,26.987,56.766,49.166,66.188,47.538,30.128,45.909,35.673,42.42,35.556,13.377,56.34,26.677,88.794,60.954,22.761,16.324,23.497,61.962,50.523,48.352,59.015,0,0.865,3.183,0.34
34116,VXFGIUJMGXSYQP-UHFFFAOYSA-N,Cc1cc(N)nc(OCC(O)C(O)C(O)Cc2cccc(C#N)c2)c1,"(pose_E325_0695_015, pose_H241_0874_020)",[1*]c1cc(C)cc(N)n1.[10*]c1cc([14*])cc(C#N)c1.[1*]OCC(O)C(O)C(O)C[10*],343.383,0.548,7,4,4,0.577,3,132.62,0.111,0.491,0.871,0.062,0.318,0.149,0.171,0.159,0.047,0.554,0.254,0.228,0.201,0.463,0.997,0.014,0.027,0.211,0.109,0.014,0.041,0.011,0.791,0.14,0.037,0.005,0.005,0.064,0.031,0.07,0.619,-5.349,47.973,2.441,6.276,-14.8,2.677,0.676,62.785,-3.106,2.515,52.268,28.461,77.356,86.022,63.804,57.619,75.436,81.039,36.022,30.128,65.064,54.362,73.633,50.291,73.788,60.178,49.438,56.262,69.484,62.97,66.654,52.036,53.47,57.231,54.517,82.435,74.37,44.164,19.698,61.962,53.16,55.642,25.01,44.281,31.873,56.96,56.146,2.016,69.019,29.197,60.605,31.369,48.43,10.198,60.45,36.914,34.238,48.701,57.774,0,0.867,3.626,0.34
12396,RYLLSAPICQZKCM-ZDUSSCGKSA-L,N#Cc1cccc(COP(=O)([O-])OP(=O)([O-])OCC[C@H]2C=CNCC2)c1,"(pose_E325_0657_023, pose_H241_0874_06)",[1*][C@H]1C=CNCC1.[8*]c1cc([12*])cc(C#N)c1.[1*]CCOP(=O)([O-])OP(=O)([O-])OC[12*],400.264,1.558,9,1,4,0.611,3,143.77,0.072,0.689,0.804,0.023,0.32,0.205,0.077,0.27,0.216,0.539,0.392,0.2,0.077,0.351,0.98,0.006,0.045,0.086,0.051,0.038,0.19,0.004,0.817,0.162,0.05,0.002,0.005,0.032,0.005,0.254,0.36,-5.365,33.605,6.218,18.579,-8.365,4.574,1.113,73.843,-1.402,2.158,65.258,39.55,86.254,36.681,63.804,61.691,75.436,83.598,26.367,45.715,51.415,43.156,73.711,63.513,61.07,72.199,74.68,55.176,76.076,58.434,44.979,43.66,36.293,36.797,70.337,69.135,61.148,70.415,78.674,45.328,56.185,58.24,30.361,30.748,30.903,48.43,28.926,29.43,55.874,28.538,47.499,35.944,65.568,62.699,99.612,44.203,48.119,77.549,55.176,1,0.901,4.883,0.34
18681,FBIOUYNYLGUXDD-UHFFFAOYSA-N,Cc1csc(C(O)C(O)CSCn2ccc3c(N)ncnc32)c1,"(pose_E325_0676_023, pose_H241_0940_01)",[1*]c1c([4*])n([6*])c2ncnc(N)c12.[14*]c1sc([18*])c(C)c1[22*].[6*]CSCC(O)C([14*])O,350.469,2.169,8,3,4,0.63,2,97.19,0.243,0.712,0.876,0.131,0.239,0.317,0.05,0.109,0.088,0.338,0.337,0.21,0.218,0.851,0.998,0.02,0.021,0.242,0.104,0.023,0.18,0.008,0.576,0.091,0.091,0.01,0.018,0.03,0.048,0.199,0.278,-5.665,34.723,17.889,8.077,-14.18,2.277,2.174,79.755,-2.687,-0.544,53.664,47.887,82.358,77.259,63.804,64.444,68.864,65.607,58.666,47.15,66.421,63.862,67.584,80.031,53.936,51.338,59.636,35.595,73.788,59.868,68.437,76.347,60.915,67.352,45.522,84.374,73.672,57.115,76.851,57.309,37.65,50.213,41.838,56.34,55.448,47.693,64.327,20.202,49.399,19.193,48.662,50.33,51.299,13.106,34.161,63.746,56.34,57.076,32.222,0,0.859,4.02,0.34
32131,ZJMNLQURWBHBGC-UHFFFAOYSA-N,CC(=O)c1cccc2[nH]c(CCNC(=O)OCc3c[nH]nn3)nc12,"(pose_E325_0693_017, pose_H241_0929_02)",[1*]c1cc(C(C)=O)c2nc([8*])[nH]c2c1.[15*]c1cn([19*])nn1.[8*]CCNC(=O)OC[15*],328.332,1.352,6,3,4,0.586,0,125.65,0.8,0.911,0.926,0.389,0.359,0.256,0.12,0.089,0.044,0.358,0.149,0.11,0.181,0.942,1.0,0.004,0.002,0.47,0.011,0.004,0.055,0.008,0.575,0.224,0.197,0.038,0.036,0.02,0.112,0.354,0.103,-5.436,44.285,16.706,-22.835,-16.199,2.194,0.5,75.714,-2.556,-8.154,48.74,36.952,69.504,77.259,63.804,59.015,22.489,79.76,94.688,69.058,82.125,79.643,76.541,71.966,68.399,45.793,48.468,37.767,61.497,40.675,64.056,87.476,83.986,26.25,6.126,92.245,38.736,20.124,29.74,58.511,37.65,62.854,60.954,76.929,68.748,41.76,77.007,42.226,30.283,25.863,57.425,48.856,6.708,6.359,29.624,34.432,50.446,59.752,2.753,0,0.907,2.946,0.34
18492,CKNWIGZEHGWHKJ-UHFFFAOYSA-L,N#Cc1cccc(COP(=O)([O-])OP(=O)([O-])OCn2ccc3c(N)ncnc32)c1,"(pose_E325_0676_023, pose_H241_0874_011)",[1*]c1c([4*])n([6*])c2ncnc(N)c12.[14*]c1cc([18*])cc(C#N)c1.[6*]COP(=O)([O-])OP(=O)([O-])OC[18*],437.245,1.029,12,1,3,0.495,2,188.47,0.239,0.853,0.853,0.012,0.115,0.282,0.068,0.099,0.054,0.457,0.162,0.21,0.306,0.892,0.962,0.007,0.019,0.186,0.182,0.049,0.183,0.002,0.646,0.068,0.076,0.004,0.001,0.023,0.018,0.127,0.592,-5.413,22.545,21.741,23.752,-12.736,3.658,1.508,82.63,-2.289,3.04,73.168,32.959,92.323,36.681,20.919,46.413,68.864,90.074,58.434,61.768,61.264,35.363,52.23,75.533,58.666,48.468,51.609,47.654,62.97,59.868,76.851,80.109,31.95,39.667,43.311,80.729,83.792,76.503,77.356,31.097,42.226,46.917,38.271,43.893,13.339,43.311,46.956,9.422,67.856,26.755,35.324,54.711,70.415,22.528,95.037,50.64,60.023,64.405,61.497,1,0.857,4.273,0.34
31520,ZJMNLQURWBHBGC-UHFFFAOYSA-N,CC(=O)c1cccc2[nH]c(CCNC(=O)OCc3c[nH]nn3)nc12,"(pose_E325_0693_014, pose_H241_0929_023)",[1*]c1cc(C(C)=O)c2nc([8*])[nH]c2c1.[15*]c1cn([19*])nn1.[8*]CCNC(=O)OC[15*],328.332,1.352,6,3,4,0.586,0,125.65,0.8,0.911,0.926,0.389,0.359,0.256,0.12,0.089,0.044,0.358,0.149,0.11,0.181,0.942,1.0,0.004,0.002,0.47,0.011,0.004,0.055,0.008,0.575,0.224,0.197,0.038,0.036,0.02,0.112,0.354,0.103,-5.436,44.285,16.706,-22.835,-16.199,2.194,0.5,75.714,-2.556,-8.154,48.74,36.952,69.504,77.259,63.804,59.015,22.489,79.76,94.688,69.058,82.125,79.643,76.541,71.966,68.399,45.793,48.468,37.767,61.497,40.675,64.056,87.476,83.986,26.25,6.126,92.245,38.736,20.124,29.74,58.511,37.65,62.854,60.954,76.929,68.748,41.76,77.007,42.226,30.283,25.863,57.425,48.856,6.708,6.359,29.624,34.432,50.446,59.752,2.753,0,0.907,2.946,0.34
13357,ZTTZGVNWMPKQSK-LBPRGKRZSA-N,Cc1cscc1C(=O)NCC(=O)NCC[C@H]1C=CNCC1,"(pose_E325_0657_08, pose_H241_0940_024)",[1*][C@H]1C=CNCC1.[8*]c1sc([12*])c(C)c1[16*].*C(C(=O)NCC[1*])N(*)C([16*])=O,307.419,1.416,4,3,4,0.744,1,70.23,0.236,0.821,0.827,0.103,0.283,0.181,0.035,0.229,0.098,0.579,0.413,0.233,0.108,0.38,0.999,0.022,0.031,0.05,0.029,0.02,0.211,0.007,0.766,0.05,0.191,0.009,0.047,0.02,0.025,0.708,0.235,-5.399,70.812,22.887,8.807,-11.222,2.671,0.749,57.713,-1.867,-2.78,42.807,37.767,46.472,77.259,63.804,81.233,54.808,46.53,58.007,57.852,55.525,60.566,71.19,58.278,48.817,69.174,61.729,58.317,76.968,63.707,52.889,46.142,63.242,68.592,59.674,61.07,52.152,53.354,81.155,55.138,50.911,42.381,60.101,53.703,73.866,41.644,52.734,76.774,45.832,27.181,77.433,55.797,52.385,34.044,60.256,37.805,29.43,71.307,17.332,0,0.855,3.64,0.34
23702,XBDKLXOATSAHNL-UHFFFAOYSA-N,CC1CC(=O)N(OCCCCCn2c(=O)[nH]c3ccccc32)N1C,"(pose_E325_0678_021, pose_H241_0941_04)",[1*]=C1C(=O)N([8*])N(C)C1C.[11*]n1c(=O)n([16*])c2ccccc21.[8*]OCCCCC[11*],332.404,1.899,5,1,4,0.786,1,70.57,0.95,0.818,0.823,0.088,0.357,0.198,0.146,0.181,0.077,0.774,0.452,0.539,0.877,0.647,1.0,0.003,0.005,0.215,0.086,0.015,0.109,0.004,0.865,0.247,0.255,0.017,0.04,0.052,0.089,0.827,0.869,-5.217,39.659,-3.005,-8.38,-12.72,1.966,1.382,76.487,-2.254,-4.212,49.709,44.203,59.112,36.681,63.804,87.01,54.808,46.568,98.527,57.619,54.827,58.627,76.309,61.691,71.345,63.707,57.542,84.219,78.48,90.578,99.884,62.001,75.843,21.404,13.028,82.823,70.725,45.522,59.364,46.103,61.225,63.901,66.925,65.025,71.152,54.362,74.254,86.506,83.521,36.022,53.393,24.816,21.598,22.722,18.534,48.623,51.377,65.064,11.128,0,0.864,3.401,0.34
53003,HENDFZBFIVXXOM-UHFFFAOYSA-N,CC(C)(NC(=O)OCC1=NCNC(=O)C1Cl)c1ccccc1O,"(pose_E325_0727_019, pose_H241_0937_023)",[1*]c1cccc([7*])c1O.[10*]C1=NCN([15*])C(=O)C1Cl.[1*]C(C)(C)NC(=O)OC[10*],339.779,1.489,5,3,4,0.723,1,100.02,0.494,0.803,0.809,0.353,0.643,0.256,0.118,0.101,0.241,0.658,0.449,0.265,0.148,0.28,0.999,0.009,0.006,0.056,0.046,0.054,0.178,0.044,0.642,0.05,0.428,0.051,0.095,0.158,0.192,0.562,0.184,-5.368,71.161,27.552,-20.653,-10.975,2.526,2.095,79.093,-2.986,0.799,51.609,38.426,59.112,77.259,63.804,78.092,54.808,67.313,82.164,56.029,52.462,78.402,89.104,72.005,68.088,48.934,75.998,68.088,78.48,67.972,59.558,38.775,71.229,46.297,15.471,62.893,59.558,78.674,76.425,82.164,41.915,42.381,79.604,80.419,84.141,69.678,84.8,63.125,40.558,28.383,77.627,59.791,7.832,36.603,50.019,62.001,55.603,50.989,43.234,0,0.853,3.778,0.34
19101,ZSARLNRZYHTYMN-UHFFFAOYSA-N,Nc1ncnc2c1ccn2CNC(=O)COc1cccc(CCO)c1,"(pose_E325_0676_09, pose_H241_0916_04)",[1*]c1c([4*])n([6*])c2ncnc(N)c12.[14*]c1cccc(CCO)c1.[6*]CNC(=O)CO[14*],341.371,0.701,7,3,4,0.583,0,115.29,0.523,0.678,0.847,0.109,0.102,0.25,0.015,0.072,0.043,0.262,0.225,0.205,0.202,0.854,0.997,0.015,0.03,0.15,0.051,0.008,0.117,0.002,0.368,0.043,0.102,0.011,0.007,0.008,0.019,0.225,0.445,-5.54,19.506,6.376,-2.948,-17.092,2.276,1.56,77.493,-2.621,-5.178,51.881,29.895,77.356,77.259,63.804,58.472,22.489,75.688,84.102,44.746,59.946,61.458,50.213,71.307,36.565,41.062,48.081,29.546,67.933,59.364,66.925,76.464,55.564,59.054,59.325,77.627,61.07,31.214,62.233,37.65,28.228,40.636,44.358,56.689,36.332,31.563,47.732,24.234,61.187,22.024,32.261,36.254,30.981,4.924,34.083,51.648,52.966,58.356,8.259,0,0.887,2.551,0.34
55169,SIPHHNDBYVCQRO-UHFFFAOYSA-N,CN(CCN(C)c1c[nH]nn1)C(=O)C(C)(C)Oc1ccc2c(c1)NC(=O)CC(=O)N2C,"(pose_E325_0744_011, pose_H241_0907_014)",[1*]c1cn([5*])nn1.[8*]c1ccc2c(c1)N([16*])C(=O)C(=[20*])C(=O)N2C.[1*]N(C)CCN(C)C(=O)C(C)(C)O[8*],429.481,0.862,7,2,4,0.626,0,123.76,0.266,0.4,0.714,0.008,0.146,0.235,0.091,0.068,0.071,0.734,0.528,0.229,0.175,0.788,0.974,0.005,0.014,0.046,0.011,0.008,0.056,0.003,0.592,0.296,0.105,0.004,0.009,0.028,0.031,0.237,0.417,-5.095,49.152,43.415,2.03,-13.856,2.999,1.395,67.978,-3.146,3.729,71.772,31.33,77.356,60.857,63.804,63.978,22.489,79.217,62.389,24.506,38.581,31.64,56.34,68.748,63.862,40.326,56.495,78.131,81.078,63.086,63.319,70.686,34.354,31.252,34.548,59.674,39.318,29.352,30.283,39.899,39.085,66.421,45.754,40.558,41.993,46.53,56.456,26.561,59.442,42.924,61.574,73.556,40.907,14.812,78.48,48.817,40.946,47.848,66.266,0,0.909,3.385,0.34
